configuration,mandatory_count,total_regions,mandatory_infeasible,optional_skipped,dispatch_infeasible,expired_waiting,completed,deadline_misses,thermal_violations,mandatory_released,mandatory_unique_terminal_uids,mandatory_pre_reject,mandatory_wait_expire,mandatory_late_complete,mandatory_on_time,mandatory_terminal_residual,mandatory_pre_rejection_rate,mandatory_admitted_dmr,mandatory_service_failure_rate,mandatory_terminal_table_sha256,period_ms,lines,epochs,seed,budget_mode,network_mode,release_mode,priority_overhead_ms,all_regions_mandatory,enable_productive_cooling,fixed_voltage_index,enforce_thermal_feasibility,plant_thermal_response_factor,plant_ambient_c,overrun_probability,overrun_min_extra,overrun_max_extra,forced_overrun_count,images,defective_images,mean_complete_image_dice,completed_only_images,mean_completed_only_dice,pixel_defect_recall,pixel_missed_detection_rate,image_complete_miss_rate,optimism_gap,optional_region_on_time_coverage,defect_region_mandatory_coverage,defect_region_on_time_coverage,all_defect_regions_on_time_image_rate,any_defect_region_on_time_image_rate,defect_positive_regions,defective_images_for_coverage
HBTASP-Top1,1,24000,0,14000,0,0,10000,0,0,6000,6000,0,0,0,6000,0,0.0,0.0,0.0,368e16a18b5b73e12179e2ceeeef5d7bbd6d7e12c7147fe591b0919c4402b0f8,100,6,1000,101,assigned_level_sensitivity,dynamic,periodic,0.0,False,True,,True,1.0,25.0,0.0,0.0,0.0,0,6000,6000,0.28578430435337027,5177,0.4086263003069651,0.3145808225940802,0.6854191774059197,0.3265,0.12284199595359485,0.2222222222222222,0.31368631368631367,0.4945054945054945,0.31066666666666665,0.7413333333333333,12012,6000
HBTASP-Top1,1,24000,0,14000,0,0,10000,0,0,6000,6000,0,0,0,6000,0,0.0,0.0,0.0,1647dacc78c42fdbc64e7d28ec9e5575601944c739c0044734f158d076fd1351,100,6,1000,202,assigned_level_sensitivity,dynamic,periodic,0.0,False,True,,True,1.0,25.0,0.0,0.0,0.0,0,6000,6000,0.2905673048795344,5191,0.41365955498406326,0.32051787176518354,0.6794821282348165,0.31833333333333336,0.12309225010452884,0.2222222222222222,0.31368631368631367,0.4988344988344988,0.30933333333333335,0.7526666666666667,12012,6000
HBTASP-Top1,1,24000,0,14000,0,0,10000,0,0,6000,6000,0,0,0,6000,0,0.0,0.0,0.0,b40e3956fc736148fe48725c99a765faa7ca344bcdde335f7de5815dce321912,100,6,1000,303,assigned_level_sensitivity,dynamic,periodic,0.0,False,True,,True,1.0,25.0,0.0,0.0,0.0,0,6000,6000,0.2821434535175324,5156,0.4084657490131035,0.31034784088307354,0.6896521591169265,0.3305,0.1263222954955711,0.2222222222222222,0.31368631368631367,0.48917748917748916,0.306,0.736,12012,6000
HBTASP-Top1,1,24000,0,14000,0,0,10000,0,0,6000,6000,0,0,0,6000,0,0.0,0.0,0.0,90dd8c8ff63030dd9dbbd25c0b5e9d426cebafe711c88974834a56210f18bdc1,100,6,1000,404,assigned_level_sensitivity,dynamic,periodic,0.0,False,True,,True,1.0,25.0,0.0,0.0,0.0,0,6000,6000,0.28479682435344367,5171,0.40903936574021627,0.3108666182384715,0.6891333817615285,0.3268333333333333,0.1242425413867726,0.2222222222222222,0.31368631368631367,0.49417249417249415,0.30866666666666664,0.7433333333333333,12012,6000
HBTASP-Top1,1,24000,0,14000,0,0,10000,0,0,6000,6000,0,0,0,6000,0,0.0,0.0,0.0,64fec059e2099a382af339a6780c28497caac0c5ebb5f50adb7d0e94049738cd,100,6,1000,505,assigned_level_sensitivity,dynamic,periodic,0.0,False,True,,True,1.0,25.0,0.0,0.0,0.0,0,6000,6000,0.2864166223964191,5139,0.41403116816997165,0.3182156160844801,0.6817843839155199,0.32216666666666666,0.12761454577355258,0.2222222222222222,0.31368631368631367,0.49716949716949715,0.304,0.7426666666666667,12012,6000
HBTASP-Top1,1,24000,0,14000,0,0,10000,0,0,6000,6000,0,0,0,6000,0,0.0,0.0,0.0,ae880915da58fff9f20affe7a5a25900cde6365bd54144492baa5036a1d84adc,100,6,1000,606,assigned_level_sensitivity,dynamic,periodic,0.0,False,True,,True,1.0,25.0,0.0,0.0,0.0,0,6000,6000,0.28405797607567734,5176,0.41091295191337446,0.3091699691448159,0.690830030855184,0.32466666666666666,0.12685497583769711,0.2222222222222222,0.31368631368631367,0.49284049284049286,0.304,0.7453333333333333,12012,6000
HBTASP-Top1,1,24000,0,14000,0,0,10000,0,0,6000,6000,0,0,0,6000,0,0.0,0.0,0.0,c0f27110c744a3fc7a33aecc95f2268b53928f9aef18cbadd02b335ecd207f0e,100,6,1000,707,assigned_level_sensitivity,dynamic,periodic,0.0,False,True,,True,1.0,25.0,0.0,0.0,0.0,0,6000,6000,0.2861214934327028,5180,0.41084407270828843,0.3121903089593013,0.6878096910406988,0.3255,0.12472257927558561,0.2222222222222222,0.31368631368631367,0.49217449217449216,0.30866666666666664,0.746,12012,6000
HBTASP-Top1,1,24000,0,14000,0,0,10000,0,0,6000,6000,0,0,0,6000,0,0.0,0.0,0.0,063cb3f34bb5042d5a315795e5ea1e803957554d0c67c50190b2b486a6968f17,100,6,1000,808,assigned_level_sensitivity,dynamic,periodic,0.0,False,True,,True,1.0,25.0,0.0,0.0,0.0,0,6000,6000,0.2888231536111575,5190,0.41106484244000124,0.31992925186351423,0.6800707481364858,0.3253333333333333,0.12224168882884373,0.2222222222222222,0.31368631368631367,0.49417249417249415,0.30533333333333335,0.746,12012,6000
HBTASP-Top1,1,24000,0,14000,0,0,10000,0,0,6000,6000,0,0,0,6000,0,0.0,0.0,0.0,43ca3bc1908129b5c2ac96d7e4719f6173824add31150444bda10a9206dc8922,100,6,1000,909,assigned_level_sensitivity,dynamic,periodic,0.0,False,True,,True,1.0,25.0,0.0,0.0,0.0,0,6000,6000,0.28534504083987267,5188,0.4096745877736424,0.31492270625414726,0.6850772937458527,0.322,0.12432954693376974,0.2222222222222222,0.31368631368631367,0.49217449217449216,0.3006666666666667,0.7466666666666667,12012,6000
HBTASP-Top1,1,24000,0,14000,0,0,10000,0,0,6000,6000,0,0,0,6000,0,0.0,0.0,0.0,da29db140ec3433f5a7bef5bfca040b9d439fbd33929da0e9b1ac51f823030f9,100,6,1000,1010,assigned_level_sensitivity,dynamic,periodic,0.0,False,True,,True,1.0,25.0,0.0,0.0,0.0,0,6000,6000,0.28583979985161,5177,0.4089221702298334,0.3103548952000504,0.6896451047999497,0.32666666666666666,0.1230823703782234,0.2222222222222222,0.31368631368631367,0.4985014985014985,0.30666666666666664,0.7446666666666667,12012,6000
